id,codigo,nome,capacidade_instalada,latitude,longitude,data_inicio_operacao,data_inicio_simulacao,subsistema_geografico,subsistema_eletrico
1,CEUFM,PRAIA_DE_FORMOSA,105.0,-2.9051,-41.0392,2009-08-26,2009-08-26,NE,NE
2,CEUCZ,ICARAIZINHO,54.6,-3.0179,-39.6741,2009-10-14,2009-10-14,NE,NE
3,CEUECQ,CANOA_QUEBRADA,57.0,-4.467,-37.758,2010-01-26,2010-01-26,NE,NE
4,CEUEBV,BONS_VENTOS,50.0,-4.4469,-37.7595,2010-02-11,2010-02-11,NE,NE
5,CEUEEN,ENACEL,31.5,-4.5097,-37.7608,2010-03-18,2010-03-18,NE,NE
6,CEUEPM,PRAIA_DO_MORGADO,28.8,-2.8151,-40.2348,2010-05-26,2010-05-26,NE,NE
7,CEUEVR,VOLTA_DO_RIO,42.0,-2.8514,-39.9658,2010-09-03,2010-09-03,NE,NE
8,RNUAU,ALEGRIA_I,51.0,-5.0942,-36.3631,2010-12-30,2010-12-30,NE,NE
9,RNUEM3,MANGUE_SECO_3,26.0,-5.1851,-36.361,2011-08-26,2011-08-26,NE,NE
10,RNUEM2,MANGUE_SECO_2,26.0,-5.1658,-36.3192,2011-09-24,2011-09-24,NE,NE
11,RNUEM1,MANGUE_SECO_1,26.0,-5.174,-36.3024,2011-09-30,2011-09-30,NE,NE
12,RNUEM5,MANGUE_SECO_5,26.0,-5.1675,-36.407,2011-11-01,2011-11-01,NE,NE
13,RNUAD,ALEGRIA_II,100.65,-5.1243,-36.3833,2011-12-30,2011-12-30,NE,NE
14,BAUEMC,MACAÚBAS,35.07,-12.3512,-42.3385,2012-07-06,2012-07-06,NE,NE
15,BAUENH,NOVO_HORIZONTE,30.06,-12.3124,-42.3511,2012-07-06,2012-07-06,NE,NE
16,BAUESR,SEABRA,30.06,-12.2742,-42.3662,2012-07-06,2012-07-06,NE,NE
17,BAUEPB,PEDRA_BRANCA,30.0,-9.8746,-41.0957,2013-03-02,2013-03-02,NE,NE
18,BAUEPL,SÃO_PEDRO_DO_LAGO,30.0,-9.8863,-41.1033,2013-03-02,2013-03-02,NE,NE
19,BAUESG,SETE_GAMELEIRAS,30.0,-9.8637,-41.1041,2013-03-26,2013-03-26,NE,NE
20,CEUEGU,GUAJIRÚ,30.004,-3.2632,-39.2159,2013-11-22,2013-11-22,NE,NE
21,CEUETR,TRAIRÍ,25.388,-3.2217,-39.29,2013-11-22,2013-11-22,NE,NE
22,CEUEFL,FLEIXEIRAS_I,30.004,-3.2011,-39.3647,2014-01-28,2014-01-28,NE,NE
23,RNUERT,REI_DOS_VENTOS_3,60.12,-5.1188,-36.1632,2014-02-01,2014-02-01,NE,NE
24,RNUERU,REI_DOS_VENTOS_1,58.45,-5.1009,-36.2021,2014-02-01,2014-02-01,NE,NE
25,RNUES3,MIASSABA_3,68.47,-5.1294,-36.4497,2014-02-01,2014-02-01,NE,NE
26,RNUEMT,MAR_E_TERRA,23.1,-4.964,-36.9147,2014-02-18,2014-02-18,NE,NE
27,RNUEAB,AREIA_BRANCA,27.3,-4.9686,-36.9009,2014-02-18,2014-02-18,NE,NE
28,CEUECJ,CAJUCOCO,30.0,-2.9158,-39.9544,2014-03-21,2014-03-21,NE,NE
29,CEUEID,ICARAÍ_II,37.8,-3.066,-39.5969,2014-03-28,2014-03-29,NE,NE
30,RNUER6,EURUS_VI,8.0,-5.2329,-35.9319,2014-03-29,2014-03-29,NE,NE
31,CEUEFU,FAÍSA_I,29.4,-3.3218,-39.2671,2014-03-29,2014-03-29,NE,NE
32,CEUEEM,EMBUACA,27.3,-3.2147,-39.3288,2014-03-29,2014-03-29,NE,NE
33,CEUEFQ,FAÍSA_IV,25.2,-3.3218,-39.2671,2014-03-29,2014-03-29,NE,NE
34,CEUEFT,FAÍSA_III,25.2,-3.3478,-39.2651,2014-03-29,2014-03-29,NE,NE
35,CEUEIU,ICARAÍ_I,27.3,-3.0812,-39.5949,2014-03-29,2014-03-29,NE,NE
36,RNCEM1,MORRO_DOS_VENTOS_I,28.8,-5.3628,-35.819,2014-03-29,2014-03-29,NE,NE
37,RNCEM3,MORRO_DOS_VENTOS_III,28.8,-5.3744,-35.8683,2014-03-29,2014-03-29,NE,NE
38,RNCEM4,MORRO_DOS_VENTOS_IV,28.8,-5.382,-35.8809,2014-03-29,2014-03-29,NE,NE
39,RNCEM6,MORRO_DOS_VENTOS_VI,28.8,-5.3437,-35.8783,2014-03-29,2014-03-29,NE,NE
40,RNCEM9,MORRO_DOS_VENTOS_IX,30.0,-5.3053,-35.9132,2014-03-29,2014-03-29,NE,NE
41,RNUEC1,SANTA_CLARA_I,30.0,-5.2432,-35.8988,2014-03-29,2014-03-29,NE,NE
42,RNUEC2,SANTA_CLARA_II,30.0,-5.2675,-35.9102,2014-03-29,2014-04-03,NE,NE
43,RNUEC3,SANTA_CLARA_III,30.0,-5.2688,-35.9036,2014-03-29,2014-03-29,NE,NE
44,RNUEC4,SANTA_CLARA_IV,30.0,-5.2394,-35.9135,2014-03-29,2014-04-03,NE,NE
45,RNUEC5,SANTA_CLARA_V,30.0,-5.2597,-35.9217,2014-03-29,2014-04-03,NE,NE
46,RNUEC6,SANTA_CLARA_VI,30.0,-5.2403,-35.927,2014-03-29,2014-03-29,NE,NE
47,CEUEMU,MUNDAÚ,30.004,-3.1936,-39.3746,2014-04-01,2014-04-01,NE,NE
48,CEUEBU,BURITI,30.0,-2.8853,-39.9839,2014-04-03,2014-04-03,NE,NE
49,RNUEV1,UNIÃO_DOS_VENTOS_1,22.4,-5.0774,-35.8398,2014-04-05,2014-04-15,NE,NE
50,RNUEV2,UNIÃO_DOS_VENTOS_2,22.4,-5.0806,-35.8258,2014-04-05,2014-04-05,NE,NE
51,RNUEV6,UNIÃO_DOS_VENTOS_6,12.8,-5.0946,-35.767,2014-04-05,2014-04-05,NE,NE
52,RNUEV7,UNIÃO_DOS_VENTOS_7,14.4,-5.0971,-35.752,2014-04-05,2014-04-05,NE,NE
53,RNUEV8,UNIÃO_DOS_VENTOS_8,14.4,-5.0727,-35.888,2014-04-05,2014-04-05,NE,NE
54,RNUEV9,UNIÃO_DOS_VENTOS_9,11.2,-5.0872,-35.887,2014-04-05,2014-04-05,NE,NE
55,RNUEVX,UNIÃO_DOS_VENTOS_10,14.4,-5.1072,-35.889,2014-04-05,2014-04-15,NE,NE
56,RNUEV3,UNIÃO_DOS_VENTOS_3,22.4,-5.0825,-35.81,2014-04-08,2014-04-08,NE,NE
57,RNUEV4,UNIÃO_DOS_VENTOS_4,11.2,-5.0903,-35.798,2014-04-08,2014-04-08,NE,NE
58,RNUEV5,UNIÃO_DOS_VENTOS_5,24.0,-5.0904,-35.782,2014-04-08,2014-04-08,NE,NE
59,CEUEAD,TAÍBA_ANDORINHA,14.7,-3.5287,-38.898,2014-06-19,2014-06-19,NE,NE
60,CEUEAG,TAÍBA_ÁGUIA,23.1,-3.5481,-38.8883,2014-06-19,2014-06-19,NE,NE
61,CEUECL,COLÔNIA,18.9,-3.5426,-38.8782,2014-06-19,2014-06-19,NE,NE
62,BAUEAV,ALVORADA,8.0,-14.1852,-42.5911,2014-07-04,2014-07-04,NE,NE
63,BAUECB,CANDIBA,9.6,-14.1857,-42.6466,2014-07-04,2014-07-04,NE,NE
64,BAUEGB,GUANAMBI,20.8,-14.2017,-42.6183,2014-07-04,2014-07-04,NE,NE
65,BAUEGP,GUIRAPÁ,28.8,-14.2189,-42.6414,2014-07-04,2014-07-04,NE,NE
66,BAUEIH,ILHÉUS,11.2,-13.8823,-42.6631,2014-07-04,2014-07-04,NE,NE
67,BAUEIP,IGAPORÃ,30.4,-13.8606,-42.6574,2014-07-04,2014-07-04,NE,NE
68,BAUELA,LICÍNIO_DE_ALMEIDA,24.0,-14.1769,-42.6541,2014-07-04,2014-07-04,NE,NE
69,BAUENC,NOSSA_SENHORA_DA_CON,28.8,-13.8957,-42.6769,2014-07-04,2014-07-04,NE,NE
70,BAUEPD,PINDAÍ,24.0,-14.2021,-42.6589,2014-07-04,2014-07-04,NE,NE
71,BAUEPS,PORTO_SEGURO,6.4,-13.8629,-42.6727,2014-07-04,2014-07-04,NE,NE
72,BAUEPT,PLANALTINA,27.2,-13.9879,-42.6389,2014-07-04,2014-07-04,NE,NE
73,BAUEPV,PAJEÚ_DO_VENTO,25.6,-14.0148,-42.6339,2014-07-04,2014-07-04,NE,NE
74,BAUERV,RIO_VERDE,30.4,-14.164,-42.6006,2014-07-04,2014-07-04,NE,NE
75,BAUESS,SERRA_DO_SALTO,19.2,-14.1555,-42.6382,2014-07-04,2014-07-04,NE,NE
76,CEUEFD,FAÍSA_II,27.3,-3.3189,-39.2397,2014-07-31,2014-07-31,NE,NE
77,CEUEIG,ILHA_GRANDE,29.7,-3.0666,-39.7026,2014-08-20,2014-08-20,NE,NE
78,CEUEBC,BOCA_DO_CÓRREGO,24.3,-3.0984,-39.6663,2014-08-30,2014-08-30,NE,NE
79,CEUERB,RIBEIRÃO,21.6,-3.0983,-39.6785,2014-09-25,2014-09-25,NE,NE
80,BAUEJO,JOANA,28.2,-13.9185,-42.6205,2014-09-26,2014-09-26,NE,NE
81,BAUET1,CAETITÉ_1,30.0,-14.1632,-42.4845,2014-10-03,2014-10-03,NE,NE
82,BAUET2,CAETITÉ_2,30.0,-14.185,-42.503,2014-10-08,2014-10-08,NE,NE
83,BAUET3,CAETITÉ_3,30.0,-14.2194,-42.507,2014-10-08,2014-10-08,NE,NE
84,BAUEMI,EMILIANA,28.2,-13.91,-42.6241,2014-10-09,2014-10-09,NE,NE
85,BAUEAR,DOS_ARAÇÁS,31.86,-14.1296,-42.5597,2014-10-11,2014-10-11,NE,NE
86,BAUEDP,DA_PRATA,21.84,-13.9499,-42.6382,2014-10-11,2014-10-11,NE,NE
87,BAUEMR,MORRÃO,30.24,-14.0885,-42.6827,2014-10-11,2014-10-11,NE,NE
88,BAUESE,SERAÍMA,30.24,-14.1473,-42.7119,2014-10-11,2014-10-11,NE,NE
89,BAUETQ,TANQUE,30.0,-14.1025,-42.6107,2014-10-11,2014-10-11,NE,NE
90,BAUEVN,VENTOS_DO_NORDESTE,23.52,-14.1197,-42.6142,2014-10-11,2014-10-11,NE,NE
91,RNUEMD,MODELO_II,25.85,-5.4144,-35.9001,2014-10-23,2014-10-23,NE,NE
92,RNUEMP,MODELO_I,30.55,-5.4308,-35.8931,2014-10-25,2014-10-25,NE,NE
93,CEUEFC,FAÍSA_V,29.4,-3.3699,-39.2621,2014-10-30,2014-10-30,NE,NE
94,CEUECO,COQUEIROS,27.0,-2.8855,-39.9721,2014-11-07,2014-11-07,NE,NE
95,CEUEAP,SANTO_ANTÔNIO_DE_PÁD,14.0,-3.2733,-39.2246,2014-11-11,2014-11-11,NE,NE
96,CEUESC,SÃO_CRISTÓVÃO,26.0,-3.2579,-39.2475,2014-11-11,2014-11-11,NE,NE
97,CEUESJ,SÃO_JORGE,24.0,-3.247,-39.2502,2014-11-11,2014-11-11,NE,NE
98,RNCEE1,EURUS_I,30.0,-5.3655,-35.8621,2014-12-03,2014-12-03,NE,NE
99,RNCEE3,EURUS_III,30.0,-5.3971,-35.8748,2014-12-03,2014-12-03,NE,NE
100,RNECBR,COSTA_BRANCA,20.7,-5.4215,-35.8526,2014-12-03,2014-12-03,NE,NE
101,RNEPEP,PEDRA_PRETA,20.7,-5.4268,-35.8534,2014-12-03,2014-12-03,NE,NE
102,RNECV2,CAMPO_DOS_VENTOS_II,30.0,-5.3201,-35.9322,2014-12-04,2014-12-05,NE,NE
103,RNEJUR,JUREMAS,16.1,-5.3898,-35.8463,2014-12-05,2014-12-05,NE,NE
104,RNEAB4,ASA_BRANCA_IV,32.0,-5.3291,-35.9916,2014-12-06,2014-12-06,NE,NE
105,RNEAB5,ASA_BRANCA_V,32.0,-5.3828,-36.0088,2014-12-06,2014-12-06,NE,NE
106,RNEAB6,ASA_BRANCA_VI,32.0,-5.3596,-35.9987,2014-12-06,2014-12-06,NE,NE
107,RNEAB7,ASA_BRANCA_VII,32.0,-5.2529,-35.943,2014-12-06,2014-12-06,NE,NE
108,RNEAB8,ASA_BRANCA_VIII,32.0,-5.2812,-35.9804,2014-12-06,2014-12-06,NE,NE
109,RNECAD,CARCARÁ_II,30.0,-4.9457,-37.0036,2014-12-09,2014-12-09,NE,NE
110,RNEMAC,MACACOS,20.7,-5.412,-35.8483,2014-12-11,2014-12-11,NE,NE
111,RNEPR1,RENASCENÇA_I,30.0,-5.3043,-35.8692,2014-12-24,2014-12-24,NE,NE
112,RNEPR2,RENASCENÇA_II,30.0,-5.307,-35.8887,2014-12-24,2014-12-24,NE,NE
113,RNEPR3,RENASCENÇA_III,30.0,-5.2953,-35.8957,2014-12-24,2014-12-24,NE,NE
114,RNEPR4,RENASCENÇA_IV,30.0,-5.2981,-35.9164,2014-12-24,2014-12-24,NE,NE
115,RNEVSM,VENTOS_DE_SÃO_MIGUEL,30.0,-5.2839,-35.8755,2014-12-24,2014-12-24,NE,NE
116,RNUEER,EURUS_II,30.0,-5.3919,-35.8331,2015-01-01,2015-01-01,NE,NE
117,RNUERN,RENASCENÇA_V,30.0,-5.2698,-35.8589,2015-01-01,2015-01-01,NE,NE
118,PEUEPF,PAU_FERRO,30.55,-9.0625,-38.1186,2015-02-04,2015-02-04,NE,NE
119,PEUEPG,PEDRA_DO_GERÔNIMO,30.55,-9.0672,-38.1448,2015-02-04,2015-02-04,NE,NE
120,PEUETA,TACAICÓ,18.8,-9.0187,-38.056,2015-02-04,2015-02-04,NE,NE
121,RNUEOD,DREEN_OLHO_D'ÁGUA,30.0,-5.0545,-35.9687,2015-02-25,2015-02-25,NE,NE
